Date,Day_of_Week,Semester,Starch,Protein,Side,Full_Menu,Academic_Event,Meals_Served
2025-04-07,Monday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,812
2025-04-08,Tuesday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,1010
2025-04-09,Wednesday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,800
2025-04-10,Thursday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,752
2025-04-11,Friday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,761
2025-04-12,Saturday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,586
2025-04-13,Sunday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,414
2025-04-14,Monday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,992
2025-04-15,Tuesday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,989
2025-04-16,Wednesday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,993
2025-04-17,Thursday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,992
2025-04-18,Friday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,753
2025-04-19,Saturday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,338
2025-04-20,Sunday,1,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,562
2025-04-21,Monday,1,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,751
2025-04-22,Tuesday,1,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,1044
2025-04-23,Wednesday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,825
2025-04-24,Thursday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,961
2025-04-25,Friday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,954
2025-04-26,Saturday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,646
2025-04-27,Sunday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,430
2025-04-28,Monday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,1049
2025-04-29,Tuesday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,787
2025-04-30,Wednesday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,1012
2025-05-01,Thursday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,1015
2025-05-02,Friday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,1023
2025-05-03,Saturday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,439
2025-05-04,Sunday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,623
2025-05-05,Monday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,786
2025-05-06,Tuesday,1,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,987
2025-05-07,Wednesday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,807
2025-05-08,Thursday,1,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,994
2025-05-09,Friday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,988
2025-05-10,Saturday,1,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,375
2025-05-11,Sunday,1,Rice,Beef,Vegs,"Rice, Beef & Vegs",Regular,678
2025-05-12,Monday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,970
2025-05-13,Tuesday,1,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,955
2025-05-14,Wednesday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,759
2025-05-15,Thursday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,1022
2025-05-16,Friday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,773
2025-05-17,Saturday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,653
2025-05-18,Sunday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,448
2025-05-19,Monday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,828
2025-05-20,Tuesday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,848
2025-05-21,Wednesday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,815
2025-05-22,Thursday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,861
2025-05-23,Friday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,845
2025-05-24,Saturday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,403
2025-05-25,Sunday,1,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,582
2025-05-26,Monday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Exam Week,691
2025-05-27,Tuesday,1,Sadza,Beef,Salad,"Sadza, Beef & Salad",Exam Week,895
2025-05-28,Wednesday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Exam Week,596
2025-05-29,Thursday,1,Rice,Chicken,Salad,"Rice, Chicken & Salad",Exam Week,821
2025-05-30,Friday,1,Rice,Soya,Vegs,"Rice, Soya & Vegs",Exam Week,654
2025-05-31,Saturday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Exam Week,452
2025-06-01,Sunday,1,Rice,Beef,Vegs,"Rice, Beef & Vegs",Exam Week,462
2025-06-02,Monday,1,Rice,Beef,Salad,"Rice, Beef & Salad",Exam Week,928
2025-06-03,Tuesday,1,Rice,Beans,Vegs,"Rice, Beans & Vegs",Exam Week,728
2025-06-04,Wednesday,1,Rice,Beans,Salad,"Rice, Beans & Salad",Exam Week,659
2025-06-05,Thursday,1,Rice,Soya,Salad,"Rice, Soya & Salad",Exam Week,616
2025-06-06,Friday,1,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Exam Week,621
2025-08-18,Monday,2,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,1043
2025-08-19,Tuesday,2,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,1008
2025-08-20,Wednesday,2,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,835
2025-08-21,Thursday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,792
2025-08-22,Friday,2,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,1008
2025-08-23,Saturday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,368
2025-08-24,Sunday,2,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,568
2025-08-25,Monday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,879
2025-08-26,Tuesday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,761
2025-08-27,Wednesday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,770
2025-08-28,Thursday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,798
2025-08-29,Friday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,785
2025-08-30,Saturday,2,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,388
2025-08-31,Sunday,2,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,620
2025-09-01,Monday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,767
2025-09-02,Tuesday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,857
2025-09-03,Wednesday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,874
2025-09-04,Thursday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,761
2025-09-05,Friday,2,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,832
2025-09-06,Saturday,2,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,395
2025-09-07,Sunday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,418
2025-09-08,Monday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,1018
2025-09-09,Tuesday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,931
2025-09-10,Wednesday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,734
2025-09-11,Thursday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,761
2025-09-12,Friday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,824
2025-09-13,Saturday,2,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,649
2025-09-14,Sunday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,362
2025-09-15,Monday,2,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,942
2025-09-16,Tuesday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,755
2025-09-17,Wednesday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,806
2025-09-18,Thursday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,958
2025-09-19,Friday,2,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,1012
2025-09-20,Saturday,2,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,631
2025-09-21,Sunday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,437
2025-09-22,Monday,2,Sadza,Beans,Vegs,"Sadza, Beans & Vegs",Regular,778
2025-09-23,Tuesday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,963
2025-09-24,Wednesday,2,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,1044
2025-09-25,Thursday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,744
2025-09-26,Friday,2,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,814
2025-09-27,Saturday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,396
2025-09-28,Sunday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,402
2025-09-29,Monday,2,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,1024
2025-09-30,Tuesday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,727
2025-10-01,Wednesday,2,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,995
2025-10-02,Thursday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,758
2025-10-03,Friday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,783
2025-10-04,Saturday,2,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,617
2025-10-05,Sunday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,566
2025-10-06,Monday,2,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,966
2025-10-07,Tuesday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,755
2025-10-08,Wednesday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,962
2025-10-09,Thursday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,789
2025-10-10,Friday,2,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,1001
2025-10-11,Saturday,2,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,568
2025-10-12,Sunday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,359
2025-10-13,Monday,2,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,806
2025-10-14,Tuesday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,805
2025-10-15,Wednesday,2,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,924
2025-10-16,Thursday,2,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,988
2025-10-17,Friday,2,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,816
2025-10-18,Saturday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,377
2025-10-19,Sunday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,392
2025-10-20,Monday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,757
2025-10-21,Tuesday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Regular,844
2025-10-22,Wednesday,2,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,835
2025-10-23,Thursday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,726
2025-10-24,Friday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,1020
2025-10-25,Saturday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,398
2025-10-26,Sunday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,564
2025-10-27,Monday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,713
2025-10-28,Tuesday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,745
2025-10-29,Wednesday,2,Rice,Beans,Vegs,"Rice, Beans & Vegs",Regular,849
2025-10-30,Thursday,2,Sadza,Chicken,Salad,"Sadza, Chicken & Salad",Regular,950
2025-10-31,Friday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,728
2025-11-01,Saturday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,370
2025-11-02,Sunday,2,Rice,Beef,Vegs,"Rice, Beef & Vegs",Regular,643
2025-11-03,Monday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,748
2025-11-04,Tuesday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Regular,800
2025-11-05,Wednesday,2,Rice,Beef,Vegs,"Rice, Beef & Vegs",Regular,1063
2025-11-06,Thursday,2,Sadza,Beans,Vegs,"Sadza, Beans & Vegs",Regular,829
2025-11-07,Friday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,728
2025-11-08,Saturday,2,Sadza,Beef,Vegs,"Sadza, Beef & Vegs",Regular,588
2025-11-09,Sunday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,586
2025-11-10,Monday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Regular,784
2025-11-11,Tuesday,2,Rice,Chicken,Salad,"Rice, Chicken & Salad",Regular,972
2025-11-12,Wednesday,2,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,1051
2025-11-13,Thursday,2,Rice,Beef,Vegs,"Rice, Beef & Vegs",Regular,1047
2025-11-14,Friday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Regular,729
2025-11-15,Saturday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,641
2025-11-16,Sunday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,621
2025-11-17,Monday,2,Rice,Beef,Salad,"Rice, Beef & Salad",Regular,1050
2025-11-18,Tuesday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Regular,988
2025-11-19,Wednesday,2,Sadza,Beans,Vegs,"Sadza, Beans & Vegs",Regular,740
2025-11-20,Thursday,2,Rice,Soya,Salad,"Rice, Soya & Salad",Regular,752
2025-11-21,Friday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Regular,996
2025-11-22,Saturday,2,Rice,Chicken,Vegs,"Rice, Chicken & Vegs",Regular,651
2025-11-23,Sunday,2,Rice,Soya,Vegs,"Rice, Soya & Vegs",Regular,411
2025-11-24,Monday,2,Rice,Chicken,Salad,"Rice, Chicken & Salad",Exam Week,872
2025-11-25,Tuesday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Exam Week,584
2025-11-26,Wednesday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Exam Week,825
2025-11-27,Thursday,2,Sadza,Beef,Salad,"Sadza, Beef & Salad",Exam Week,832
2025-11-28,Friday,2,Sadza,Chicken,Vegs,"Sadza, Chicken & Vegs",Exam Week,807
2025-11-29,Saturday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Exam Week,165
2025-11-30,Sunday,2,Sadza,Soya,Salad,"Sadza, Soya & Salad",Exam Week,217
2025-12-01,Monday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Exam Week,603
2025-12-02,Tuesday,2,Rice,Soya,Vegs,"Rice, Soya & Vegs",Exam Week,644
2025-12-03,Wednesday,2,Sadza,Soya,Vegs,"Sadza, Soya & Vegs",Exam Week,591
2025-12-04,Thursday,2,Rice,Beans,Salad,"Rice, Beans & Salad",Exam Week,674
2025-12-05,Friday,2,Sadza,Beans,Salad,"Sadza, Beans & Salad",Exam Week,650
